id.lot;id.tender;date;date.auction;id.procurer;id.bidder;cpv;procedure;threshold;transport;payment;count;expected.value;round.0;round.3;add.agreement;quantity;measurement
UA-2017-01-03-000631-b-L1;UA-2017-01-03-000631-b;03.01.2017;19.01.2017;4387094;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;264750;264641;264641;264641;30000;метри кубічні
UA-2016-12-15-001732-b-L1;UA-2016-12-15-001732-b;15.12.2016;03.01.2017;3189297;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;698800;698652;698652;698652;79200;метри кубічні
UA-2016-12-20-002629-b-L1;UA-2016-12-20-002629-b;20.12.2016;05.01.2017;37694231;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;217000;216917;216917;216917;24590;метри кубічні
UA-2016-11-28-000873-b-L1;UA-2016-11-28-000873-b;28.11.2016;23.12.2016;35708231;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;338263;338193;338193;338193;38338;метри кубічні
UA-2016-11-22-000407-b-L1;UA-2016-11-22-000407-b;22.11.2016;15.12.2016;24171083;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;899946;899779;899779;899779;102000;метри кубічні
UA-2016-12-07-000530-c-L1;UA-2016-12-07-000530-c;07.12.2016;26.12.2016;2362061;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;706000;705709;705709;705709;80000;метри кубічні
UA-2016-11-23-000905-b-L1;UA-2016-11-23-000905-b;23.11.2016;19.12.2016;2230135;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;730656;635138;635138;635138;72;тисяча кубічних метрів
UA-2017-01-16-000142-c-L1;UA-2017-01-16-000142-c;16.01.2017;02.02.2017;8805772;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1620000;1587845;1587845;1587845;180;тисяча кубічних метрів
UA-2016-11-17-000673-a-L1;UA-2016-11-17-000673-a;17.11.2016;09.12.2016;21082597;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;317628;317569;317569;317569;36;тисяча кубічних метрів
UA-2016-12-30-000937-b-L1;UA-2016-12-30-000937-b;30.12.2016;16.01.2017;1999796;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;2911590;2911049;2911049;2911049;330;тисяча кубічних метрів
UA-2016-12-14-000270-b-L1;UA-2016-12-14-000270-b;14.12.2016;03.01.2017;23307451;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;980000;979039;979039;979039;110985;метри кубічні
UA-2016-11-22-000543-c-L1;UA-2016-11-22-000543-c;22.11.2016;20.12.2016;728693;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;882400;882136;882136;882136;100;тисяча кубічних метрів
UA-2016-12-16-002170-b-L1;UA-2016-12-16-002170-b;16.12.2016;04.01.2017;2145814;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;2646900;2646408;2646408;2646408;300000;метри кубічні
UA-2016-11-17-000624-a-L1;UA-2016-11-17-000624-a;17.11.2016;13.12.2016;40128400;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;785247;785101;785101;785101;89000;метри кубічні
UA-2016-12-05-000451-a-L1;UA-2016-12-05-000451-a;05.12.2016;21.12.2016;38492302;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;2000000;1993627;1993627;1993627;226;тисяча кубічних метрів
UA-2016-12-06-001142-a-L1;UA-2016-12-06-001142-a;06.12.2016;03.01.2017;26062852;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;312600;246998;246998;246998;28000;метри кубічні
UA-2016-12-12-001107-b-L1;UA-2016-12-12-001107-b;12.12.2016;28.12.2016;2547205;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;618000;617495;617495;617495;70000;метри кубічні
UA-2016-12-12-000976-b-L1;UA-2016-12-12-000976-b;12.12.2016;29.12.2016;4387119;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;617610;617495;617495;617495;70000;метри кубічні
UA-2016-12-12-002170-b-L1;UA-2016-12-12-002170-b;12.12.2016;30.12.2016;4590808;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;617610;617495;617495;617495;70000;метри кубічні
UA-2016-11-18-001274-a-L1;UA-2016-11-18-001274-a;18.11.2016;13.12.2016;22569031;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1235220;1234990;1234990;1234990;140;тисяча кубічних метрів
UA-2016-12-14-000468-a-L1;UA-2016-12-14-000468-a;14.12.2016;03.01.2017;22578219;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;346720;346653;346653;346653;39297;метри кубічні
UA-2016-12-27-001982-b-L1;UA-2016-12-27-001982-b;27.12.2016;18.01.2017;38440010;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;414000;396961;396961;396961;45000;метри кубічні
UA-2016-11-30-001176-c-L1;UA-2016-11-30-001176-c;30.11.2016;16.12.2016;39370714;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;300057;273462;273462;273462;31000;метри кубічні
UA-2016-12-23-000156-a-L2;UA-2016-12-23-000156-a;23.12.2016;11.01.2017;2229528;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;233746;199421;199421;199421;22879;метри кубічні
UA-2016-12-06-001401-a-L1;UA-2016-12-06-001401-a;06.12.2016;26.12.2016;22565760;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;583745;573388;573388;573388;65;тисяча кубічних метрів
UA-2016-11-01-000683-b-L1;UA-2016-11-01-000683-b;01.11.2016;21.11.2016;3188286;36716332;09123000-7 Природний газ;Відкриті торги;Надпороги;да;после;2;1651640;1528634;1525793;1525793;169000;метри кубічні
UA-2016-12-14-000626-b-L1;UA-2016-12-14-000626-b;14.12.2016;03.01.2017;4387220;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;640000;625434;625434;625434;70900;метри кубічні
UA-2017-01-11-000366-c-L1;UA-2017-01-11-000366-c;11.01.2017;30.01.2017;21087175;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;332168;331330;331330;331330;37560;метри кубічні
UA-2016-12-21-000433-a-L1;UA-2016-12-21-000433-a;21.12.2016;10.01.2017;14321825;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;322472;308994;308994;308994;35450;метри кубічні
UA-2016-12-08-000837-b-L1;UA-2016-12-08-000837-b;08.12.2016;26.12.2016;3189305;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;500000;489585;489585;489585;55500;метри кубічні
UA-2017-01-06-000869-b-L2;UA-2017-01-06-000869-b;06.01.2017;24.01.2017;4379746;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;297412;285024;285024;285024;32700;метри кубічні
UA-2017-01-06-000869-b-L1;UA-2017-01-06-000869-b;06.01.2017;24.01.2017;4379746;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;136318;130640;130640;130640;14988;метри кубічні
UA-2016-11-22-000099-a-L1;UA-2016-11-22-000099-a;22.11.2016;15.12.2016;3189280;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;314170;314040;314040;314040;35600;метри кубічні
UA-2017-01-13-000783-a-L1;UA-2017-01-13-000783-a;13.01.2017;31.01.2017;2145211;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;744728;732180;732180;732180;84001;метри кубічні
UA-2016-12-16-000252-c-L1;UA-2016-12-16-000252-c;16.12.2016;03.01.2017;3350083;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;2500000;2396988;2396988;2396988;275000;метри кубічні
UA-2016-12-19-000402-c-L1;UA-2016-12-19-000402-c;19.12.2016;04.01.2017;20988108;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;767635;735657;735657;735657;84400;метри кубічні
UA-2016-12-16-000745-b-L1;UA-2016-12-16-000745-b;16.12.2016;10.01.2017;14321386;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;400189;383518;383518;383518;44000;метри кубічні
UA-2017-01-10-000129-c-L1;UA-2017-01-10-000129-c;10.01.2017;30.01.2017;25428420;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;698890;637250;637250;637250;73110;метри кубічні
UA-2016-12-23-000156-a-L1;UA-2016-12-23-000156-a;23.12.2016;11.01.2017;2229528;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;134568;112284;112284;112284;12882;метри кубічні
UA-2016-12-28-000169-a-L1;UA-2016-12-28-000169-a;28.12.2016;17.01.2017;38407277;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;394000;393995;393995;393995;45202;метри кубічні
UA-2017-01-16-000171-b-L1;UA-2017-01-16-000171-b;16.01.2017;01.02.2017;3189096;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;706022;706021;706021;706021;81;тисяча кубічних метрів
UA-2016-12-28-001652-b-L1;UA-2016-12-28-001652-b;28.12.2016;16.01.2017;4378669;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;300142;287638;287638;287638;33000;метри кубічні
UA-2016-12-22-001325-b-L1;UA-2016-12-22-001325-b;22.12.2016;10.01.2017;2361819;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;90497;86727;86727;86727;9950;метри кубічні
UA-2016-12-29-000919-b-L1;UA-2016-12-29-000919-b;29.12.2016;16.01.2017;24772925;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;229679;176505;176505;176505;20250;метри кубічні
UA-2016-12-26-001460-b-L1;UA-2016-12-26-001460-b;26.12.2016;12.01.2017;39839155;36860996;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;после;3;2637666;2298050;2284850;2284850;295000;метри кубічні
UA-2016-12-01-000438-a-L1;UA-2016-12-01-000438-a;01.12.2016;20.12.2016;4718013;30732144;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;после;6;2574929;2319900;2194000;2194000;285000;метри кубічні
UA-2016-12-01-001606-a-L6;UA-2016-12-01-001606-a;01.12.2016;26.12.2016;34984907;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;101000;99245;99245;99245;11;тисяча кубічних метрів
UA-2016-12-02-000493-a-L1;UA-2016-12-02-000493-a;02.12.2016;23.01.2017;2145263;39525257;09123000-7 Природний газ;Відкриті торги із публікацією англ. мовою;Надпороги;нет;до;4;5175000;4403913;4375025;4375025;568981;метри кубічні
UA-2016-12-27-000504-b-L1;UA-2016-12-27-000504-b;27.12.2016;16.01.2017;21930192;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;307350;307343;307343;307343;34065;метри кубічні
UA-2016-12-02-001302-a-L1;UA-2016-12-02-001302-a;02.12.2016;28.12.2016;4591630;36860996;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;после;3;945000;879890;877055;877055;110000;метри кубічні
UA-2016-11-10-001222-a-L1;UA-2016-11-10-001222-a;10.11.2016;05.12.2016;40207974;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;425100;393370;393370;393370;43600;метри кубічні
UA-2017-01-03-000213-a-L1;UA-2017-01-03-000213-a;03.01.2017;23.01.2017;1998905;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;1286971;1118164;1118164;1118164;141500;метри кубічні
UA-2016-12-08-002121-b-L2;UA-2016-12-08-002121-b;08.12.2016;26.12.2016;20001496;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;119094;108267;108267;108267;12;тисяча кубічних метрів
UA-2016-12-01-001606-a-L5;UA-2016-12-01-001606-a;01.12.2016;26.12.2016;34984907;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;74000;72178;72178;72178;8;тисяча кубічних метрів
UA-2016-12-16-000870-c-L1;UA-2016-12-16-000870-c;16.12.2016;10.01.2017;2227647;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;360900;360890;360890;360890;40000;метри кубічні
UA-2016-12-16-000181-b-L1;UA-2016-12-16-000181-b;16.12.2016;03.01.2017;4340402;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;842000;759673;759673;759673;84200;метри кубічні
UA-2016-11-28-000455-a-L1;UA-2016-11-28-000455-a;28.11.2016;07.12.2016;1987439;39572642;09123000-7 Природний газ;Допорогова закупівля;Допороги;;;2;109000;108998;108998;108998;12081;метри кубічні
UA-2016-11-28-001368-a-L1;UA-2016-11-28-001368-a;28.11.2016;14.12.2016;4339675;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;332011;291238;291238;291238;32280;метри кубічні
UA-2016-12-07-000770-c-L1;UA-2016-12-07-000770-c;07.12.2016;26.12.2016;1987054;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;450000;436866;436866;436866;48421;метри кубічні
UA-2016-12-08-002294-b-L1;UA-2016-12-08-002294-b;08.12.2016;26.12.2016;4338322;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;440000;437579;437579;437579;48500;метри кубічні
UA-2016-12-16-001669-b-L2;UA-2016-12-16-001669-b;16.12.2016;10.01.2017;26239738;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;229500;220278;220278;220278;24415;метри кубічні
UA-2016-12-02-001050-a-L1;UA-2016-12-02-001050-a;02.12.2016;19.12.2016;2227506;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;570000;514268;514268;514268;57;тисяча кубічних метрів
UA-2016-11-29-001209-a-L1;UA-2016-11-29-001209-a;29.11.2016;16.12.2016;37741878;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1569014;1432651;1432651;1432651;158791;метри кубічні
UA-2016-11-28-000522-a-L2;UA-2016-11-28-000522-a;28.11.2016;15.12.2016;39851937;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;116137;110297;110297;110297;12225;метри кубічні
UA-2016-11-24-001071-a-L1;UA-2016-11-24-001071-a;24.11.2016;22.12.2016;21902066;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;503837;478179;478179;478179;53;тисяча кубічних метрів
UA-2016-12-23-001269-c-L1;UA-2016-12-23-001269-c;23.12.2016;11.01.2017;23078513;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;502121;478179;478179;478179;53;тисяча кубічних метрів
UA-2016-11-30-000970-c-L1;UA-2016-11-30-000970-c;30.11.2016;19.12.2016;2145524;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;281710;258036;258036;258036;28600;метри кубічні
UA-2016-11-25-000169-a-L1;UA-2016-11-25-000169-a;25.11.2016;19.12.2016;3188257;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;746426;739824;739824;739824;82;тисяча кубічних метрів
UA-2016-12-13-001055-a-L1;UA-2016-12-13-001055-a;13.12.2016;19.01.2017;26371952;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;1000000;999998;999998;999998;110837;метри кубічні
UA-2016-12-13-001565-b-L1;UA-2016-12-13-001565-b;13.12.2016;30.12.2016;4338463;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;425750;408040;408040;408040;45226;метри кубічні
UA-2016-12-16-001669-b-L4;UA-2016-12-16-001669-b;16.12.2016;10.01.2017;26239738;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;270900;260012;260012;260012;28819;метри кубічні
UA-2016-11-28-000608-a-L1;UA-2016-11-28-000608-a;28.11.2016;22.12.2016;26371900;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;978515;929291;929291;929291;103000;метри кубічні
UA-2016-12-08-000283-c-L1;UA-2016-12-08-000283-c;08.12.2016;27.12.2016;4340431;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;392890;334581;334581;334581;37084;метри кубічні
UA-2016-12-13-000773-b-L1;UA-2016-12-13-000773-b;13.12.2016;29.12.2016;3188375;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1550695;1488670;1488670;1488670;165000;метри кубічні
UA-2016-11-11-000799-a-L1;UA-2016-11-11-000799-a;11.11.2016;06.12.2016;2142460;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;3262964;3016487;3016487;3016487;334339;метри кубічні
UA-2016-11-21-001455-a-L1;UA-2016-11-21-001455-a;21.11.2016;12.12.2016;2541852;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;864785;857113;857113;857113;95000;метри кубічні
UA-2016-12-16-001204-b-L1;UA-2016-12-16-001204-b;16.12.2016;03.01.2017;36729839;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;после;2;864785;857113;857113;857113;95000;метри кубічні
UA-2016-11-18-000961-c-L1;UA-2016-11-18-000961-c;18.11.2016;06.12.2016;1987215;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;837200;821024;821024;821024;91000;метри кубічні
UA-2016-12-28-001684-b-L1;UA-2016-12-28-001684-b;28.12.2016;17.01.2017;40210149;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;3098590;2541475;2541475;2541475;281690;метри кубічні
UA-2016-12-01-000313-a-L1;UA-2016-12-01-000313-a;01.12.2016;19.12.2016;3188369;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;2157071;2057071;2057071;2057071;228000;метри кубічні
UA-2016-11-25-001630-a-L1;UA-2016-11-25-001630-a;25.11.2016;12.12.2016;23078051;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;449962;449308;449308;449308;49800;метри кубічні
UA-2016-12-08-000326-c-L1;UA-2016-12-08-000326-c;08.12.2016;28.12.2016;40211687;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;1108140;1086729;1086729;1086729;120450;метри кубічні
UA-2016-12-26-001405-b-L1;UA-2016-12-26-001405-b;26.12.2016;11.01.2017;37004278;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;600000;599979;599979;599979;66500;метри кубічні
UA-2016-12-01-000397-b-L1;UA-2016-12-01-000397-b;01.12.2016;20.12.2016;8562973;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;2000000;1804448;1804448;1804448;200;тисяча кубічних метрів
UA-2016-12-12-002221-b-L1;UA-2016-12-12-002221-b;12.12.2016;30.12.2016;3188381;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;1219950;1127780;1127780;1127780;125000;метри кубічні
UA-2016-11-14-001168-a-L1;UA-2016-11-14-001168-a;14.11.2016;01.12.2016;3188240;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1463910;1353336;1353336;1353336;150000;метри кубічні
UA-2016-12-20-002578-b-L1;UA-2016-12-20-002578-b;20.12.2016;06.01.2017;2142371;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;2888658;2670430;2670430;2670430;295983;метри кубічні
UA-2016-12-14-001236-b-L1;UA-2016-12-14-001236-b;14.12.2016;03.01.2017;2142365;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;2419180;2408866;2408866;2408866;266992;метри кубічні
UA-2016-12-13-000747-b-L1;UA-2016-12-13-000747-b;13.12.2016;29.12.2016;1987631;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;1432163;1432154;1432154;1432154;158736;метри кубічні
UA-2016-11-28-000817-b-L1;UA-2016-11-28-000817-b;28.11.2016;15.12.2016;4338486;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;680000;679997;679997;679997;75369;метри кубічні
UA-2016-12-28-000720-b-L1;UA-2016-12-28-000720-b;28.12.2016;16.01.2017;4340342;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;994622;944601;944601;944601;104697;метри кубічні
UA-2016-12-22-000055-a-L1;UA-2016-12-22-000055-a;22.12.2016;11.01.2017;8562921;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;1400000;1398447;1398447;1398447;155;тисяча кубічних метрів
UA-2016-12-16-001011-b-L1;UA-2016-12-16-001011-b;16.12.2016;05.01.2017;21899499;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;1277524;1249580;1249580;1249580;138500;метри кубічні
UA-2016-12-01-000870-a-L1;UA-2016-12-01-000870-a;01.12.2016;19.12.2016;1989160;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;3222168;2805014;2805014;2805014;310900;метри кубічні
UA-2016-12-08-001143-b-L1;UA-2016-12-08-001143-b;08.12.2016;26.12.2016;37834197;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;2212880;2201787;2201787;2201787;244040;метри кубічні
UA-2016-11-22-000987-a-L1;UA-2016-11-22-000987-a;22.11.2016;12.12.2016;1987439;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1481160;1481154;1481154;1481154;164167;метри кубічні
UA-2016-11-21-001011-a-L1;UA-2016-11-21-001011-a;21.11.2016;12.12.2016;2142508;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1880507;1709552;1709552;1709552;189482;метри кубічні
UA-2016-11-22-000280-a-L1;UA-2016-11-22-000280-a;22.11.2016;12.12.2016;2541852;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;293641;266797;266797;266797;29571;метри кубічні
UA-2016-11-14-001068-a-L1;UA-2016-11-14-001068-a;14.11.2016;01.12.2016;3188300;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1156020;1145824;1145824;1145824;127000;метри кубічні
